sts,device_fk,latitude,longitude,time_stamp,speed
2021-10-23T12:30:40.481184+00:00,25029,27.88553237915039,76.26605987548828,2021-10-23T12:30:35+00:00,17
2021-10-23T12:30:40.481351+00:00,25029,27.88552474975586,76.2659683227539,2021-10-23T12:30:37+00:00,16
2021-10-23T12:30:41.360630+00:00,24809,18.98970603942871,77.75823211669922,2021-10-23T12:30:16+00:00,0
2021-10-23T12:30:41.360818+00:00,24809,18.98970603942871,77.75823211669922,2021-10-23T12:30:34+00:00,0
2021-10-23T12:30:41.361302+00:00,24809,18.98970603942871,77.75823211669922,2021-10-23T12:30:24+00:00,0
2021-10-23T12:30:41.373092+00:00,24809,18.98970603942871,77.75823211669922,2021-10-23T12:30:30+00:00,0
2021-10-23T12:30:41.373448+00:00,24809,18.98970603942871,77.75823211669922,2021-10-23T12:30:36+00:00,0
2021-10-23T12:30:41.374119+00:00,24809,18.98970603942871,77.75823211669922,2021-10-23T12:30:38+00:00,0
2021-10-23T12:30:41.374312+00:00,24809,18.98970603942871,77.75823211669922,2021-10-23T12:30:22+00:00,0
2021-10-23T12:30:41.379855+00:00,24809,18.98970603942871,77.75823211669922,2021-10-23T12:30:32+00:00,0
2021-10-23T12:30:41.380219+00:00,24809,18.98970603942871,77.75823211669922,2021-10-23T12:30:28+00:00,0
2021-10-23T12:30:41.380377+00:00,24809,18.98970603942871,77.75823211669922,2021-10-23T12:30:26+00:00,0
2021-10-23T12:30:41.380527+00:00,24809,18.98970603942871,77.75823211669922,2021-10-23T12:30:20+00:00,0
2021-10-23T12:30:41.381016+00:00,24809,18.98970603942871,77.75823211669922,2021-10-23T12:30:18+00:00,0
2021-10-23T12:30:43.480235+00:00,20984,21.61501693725586,78.43660736083984,2021-10-23T12:30:39+00:00,0
2021-10-23T12:30:43.480421+00:00,20984,21.61501693725586,78.43660736083984,2021-10-23T12:30:34+00:00,0
2021-10-23T12:30:43.480584+00:00,20984,21.61501693725586,78.43660736083984,2021-10-23T12:30:17+00:00,0
2021-10-23T12:30:43.480922+00:00,20984,21.61501693725586,78.43660736083984,2021-10-23T12:30:32+00:00,0
